source	target
ARNT	NR3C1
ARNT	ZNF32
ARNT	C20orf194
ARNT	BACH2
ARNT	BMP2
ARNT	TEAD3
ARNT	ZFP36L1
ARNT	SNAI2
ARNT	SMAD3
ARNT	CREB3L2
ATF1	BACH2
ATF1	ZFP36L1
ATF1	CREB3L2
ATF1	SNAI2
ATF1	TSC22D2
ATF1	TEAD1
ATF6	BACH2
ATF6	ZFP36L1
ATF6	CREB3L2
ATF6	TSC22D2
ATF6	TEAD1
BACH2	ATXN7
BACH2	ZBTB1
BACH2	CREB3L2
BACH2	ETV5
BACH2	SMAD3
BACH2	SMAD6
JUND	SMAD3
JUND	DNAJC1
JUND	SMAD1
JUND	ZBTB1
JUND	TSC22D1
JUND	ETV5
LEF1	PRDM1
NR3C1	KLF6
NR3C1	PRDM1
NR3C1	ATF6
PRDM1	SMAD1
PRDM1	NR3C1
PRDM1	ATXN7
PRDM1	LEF1
PRDM1	MBNL3
PRDM1	BMP2
PRDM1	TSC22D1
PRDM1	ZFP36L1
PRDM1	SMAD3
PRDM1	TEAD1
SMAD1	TBX3
SMAD1	FOXP4
SMAD3	TBX3
SMAD3	FOXP4
SMAD6	TBX3
SMAD6	FOXP4
SMAD7	TBX3
SMAD7	FOXP4
ARNT	TFAP4
ARNT	YBX2
ARNT	ZNF589
ARNT	PRDM14
ARNT	ZFP42
ARNT	DEPDC1
ARNT	FOXD3
ARNT	ZNF507
ARNT	ZNF512
ATF1	ZNF165
ATF1	FOXD3
ATF6	ZNF165
ATF6	FOXD3
BACH2	ZNF512
BACH2	SOX4
BACH2	ZNF232
BACH2	ZNF644
BACH2	RCOR2
BACH2	ZBP1
BACH2	SOX15
CBFB	PBX1
CBFB	ZNF620
CBFB	SOX15
CBFB	NUFIP1
CBFB	ZNF556
JUND	ZNF512
JUND	KNTC1
JUND	SOX15
JUND	PRDM14
LEF1	FOXD3
NR3C1	HESX1
NR3C1	ZNF556
PRDM1	BRD9
PRDM1	SEMA4A
PRDM1	PBX1
PRDM1	ZNF620
PRDM1	YBX2
PRDM1	ZNF649
PRDM1	PRDM14
PRDM1	NFXL1
PRDM1	RCOR2
SMAD1	SEMA4A
SMAD1	HESX1
SMAD1	GRHL2
SMAD3	SEMA4A
SMAD3	HESX1
SMAD3	GRHL2
SMAD6	SEMA4A
SMAD6	HESX1
SMAD6	GRHL2
SMAD7	SEMA4A
SMAD7	HESX1
SMAD7	GRHL2
ZFHX3	SOX4
ZFHX3	JAZF1
ARNT	HNF1A
ARNT	CUL4A
ARNT	AFF3
ARNT	HSF4
ARNT	PRR3
ARNT	ZNF331
ARNT	TOX2
ARNT	REPIN1
ARNT	ZNF250
ARNT	UBP1
ARNT	NR1H3
ARNT	DPF1
ARNT	DMTF1
ARNT	NFYC
ARNT	SKIL
ARNT	RELA
ARNT	ZFY
ARNT	GATA2
ARNT	KLF11
ARNT	BACH1
ARNT	ZNF821
ARNT	NFKB2
ARNT	GTF2E2
ARNT	NPAS2
ARNT	SOX11
ARNT	USF2
ARNT	FOXK2
ARNT	LHX1
ARNT	LYL1
ARNT	SOX3
ARNT	SOX13
ARNT	MEF2D
ARNT	DPF2
ARNT	HIC1
ARNT	ZBTB20
ARNT	KLF13
ARNT	ZNF581
ARNT	ZNF280C
ARNT	THAP10
ARNT	THAP11
ARNT	ZNF624
ARNT	HLX
ARNT	CCDC71
ARNT	FOXQ1
ARNT	ZNF526
ARNT	ZNF461
ARNT	MLX
ARNT	CUX1
ARNT	HKR1
ARNT	ZBTB12
ARNT	ZNF283
ARNT	ZNF804A
ARNT	ZNF740
ARNT	MAF
ARNT	TFAP2A
ARNT	GON4L
ARNT	ZXDC
ARNT	ZNF596
ARNT	NCOR2
ARNT	ZBTB21
ARNT	PRDM8
ARNT	ZNF578
ARNT	FOSB
ARNT	ZBTB4
ARNT	ZNF222
ARNT	THAP5
ARNT	DEK
ARNT	PRMT3
ARNT	NR1D2
ARNT	TCF7L2
ARNT	ZNF746
ARNT	RAD51
ARNT	LCOR
ARNT	ZBED1
ARNT	ZNF548
ARNT	ZNF454
ARNT	NFATC4
ARNT	TIGD6
ARNT	USP39
ARNT	PAX6
ARNT	FOXJ1
ARNT	DLX4
ARNT	EGR1
ARNT	SMARCA1
ARNT	SP4
ARNT	FOXA1
ARNT	NRF1
ARNT	FOXN3
ARNT	ELK3
ARNT	HES1
ARNT	KLF10
ARNT	SMAD2
ARNT	ZBTB16
ARNT	NFRKB
ARNT	ZNF217
ARNT	ZFP36L2
ARNT	ZNF41
ARNT	GMEB2
ARNT	EIF3K
ARNT	AKAP8L
ARNT	ZNF292
ARNT	ZNF10
ARNT	ZNF385A
ARNT	CHRAC1
ARNT	HES2
ARNT	ZNF471
ARNT	NR1D1
ARNT	DMRT1
ARNT	PKNOX2
ARNT	HOXC8
ARNT	ZFP69B
ARNT	DMRTA2
ARNT	ZNF528
ARNT	ZFP82
ARNT	ZNF480
ARNT	NFATC1
ARNT	NRK
ARNT	GLI3
ARNT	NR0B1
ARNT	NR3C2
ARNT	ZNF470
ARNT	RUNX1
ARNT	RREB1
ARNT	KIAA2018
ARNT	ZNF638
ARNT	HEY1
ARNT	WHSC1
ARNT	RERE
ARNT	UBTF
ARNT	MYBL1
ARNT	TBX18
ARNT	PLAGL1
ARNT	ZEB1
ARNT	SMARCC2
ARNT	PRDM2
ARNT	PRDM6
ARNT	ZNF652
ARNT	ZSCAN18
ARNT	ZC3H14
ARNT	MAFF
ARNT	KIAA1549
ARNT	MNX1
ARNT	NFKB1
ARNT	LMX1A
ARNT	MYNN
ARNT	CTCF
ARNT	RNF138
ARNT	THAP3
ARNT	IRF3
ARNT	ZNF549
ARNT	TGIF2
ARNT	EZH2
ARNT	ZNF664
ARNT	ZNF497
ARNT	ETV7
ARNT	ZNF345
ARNT	ZNF790
ARNT	ZNF410
ARNT	ZBTB14
ARNT	ZNF501
ARNT	CDX2
ARNT	NFIX
ARNT	HIVEP1
ARNT	IRF1
ARNT	MAFG
ARNT	SMARCC1
ARNT	NR2E1
ARNT	ZNF140
ARNT	GTF2F2
ARNT	CEBPA
ARNT	MTA2
ARNT	ARID3A
ARNT	AKAP8
ARNT	TBX2
ARNT	NCOR1
ARNT	YEATS4
ARNT	TFDP1
ARNT	ZIC2
ARNT	ZFPM2
ARNT	PRDM4
ARNT	STAT5B
ARNT	TOX
ARNT	ZBED4
ARNT	ARNT2
ARNT	ZFP30
ARNT	ZHX2
ARNT	PDS5B
