source	target
MINK1 	 NFYB
MINK1 	 NFIB
MINK1 	 RFX5
MINK1 	 NR2F2
MINK1 	 USF1
MINK1 	 MAX
MINK1 	 NR3C1
MINK1 	 ARNT
MINK1 	 TFAP2A
LARP6 	 JUN
LARP6 	 FOSL2
LARP6 	 JUND
LARP6 	 TFAP2A
KLF15 	 TFAP4
KLF15 	 ZNF589
KLF15 	 MAX
KLF15 	 NR2F2
KLF15 	 ARNT
KLF15 	 NR3C1
KLF15 	 TFAP2A
GATA5 	 HAND1
GATA5 	 NR2F2
GATA5 	 USF1
GATA5 	 ARID5B
GATA5 	 TFAP2A
GATA5 	 MAX
NOC3L 	 TFAP2A
NOC3L 	 STAT6
TRIM32 	 NR2F2
TRIM32 	 ARNT
ZNF841 	 TFAP2A
ZNF841 	 NR2F2
ZNF776 	 PBX1
ZNF776 	 NFYB
ZNF746 	 TFAP4
ZNF776 	 FOXJ2
ZNF776 	 TFAP2A
ZNF746 	 ARNT
ZNF746 	 MEF2C
ZNF746 	 NR2F2
ZNF746 	 NANOG
ZNF275 	 NFYB
ZNF746 	 TFAP2A
ZNF14 	 TFAP2A
ZNF275 	 TFAP2A
OVOL1 	 TFAP2A
OVOL1 	 MAX
OVOL1 	 USF1
DLX3 	 NFYB
DLX3 	 MAX
ZNF563 	 NFYB
ZNF563 	 NR2F2
ZNF132 	 GABPA
ZNF432 	 NR2F2
ZNF432 	 SMAD3
ZNF132 	 NFYB
ZNF132 	 NFIB
ZNF132 	 PPARD
ZNF132 	 PPARA
TRIM32 	 NFIB
TRIM32 	 TFAP4
SP110 	 HNF4A
SP110 	 TFAP2A
PLEKHA4 	 HNF4A
PLEKHA4 	 NR2F2
SP110 	 PPARD
SP110 	 NR2F2
SP110 	 PPARA
SP110 	 PRDM1
SP110 	 MAX
NFE2 	 PPARD
ZFP36 	 TFAP2A
ZFP36 	 NR2F2
ZNF287 	 NFE2
ZNF287 	 BACH2
ZNF287 	 NR3C1
ZNF287 	 MAFG
ZNF287 	 MAF
ZNF287 	 MAFB
ZNF764 	 ARID5B
ZNF764 	 USF1
ZNF764 	 NR2F2
ZNF764 	 HAND1
ZNF764 	 HNF4A
ZNF764 	 MAX
ZNF764 	 TFAP2A
ZNF764 	 ZNF589
ZNF764 	 TFAP4
ZBTB25 	 NFE2
ZBTB25 	 TFAP2A
ZBTB25 	 MAF
ZBTB25 	 MAFB
ZBTB25 	 MAFG
ZBTB25 	 MAX
ZBTB25 	 BACH2
ZBTB25 	 JUND
ZBTB25 	 FOSL2
ZBTB25 	 HAND1
ZBTB25 	 USF1
ZBTB25 	 ARID5B
ZBTB25 	 GLI2
ZBTB25 	 TFAP4
ZBTB25 	 JUN
ZBTB25 	 NR2F2
ZBTB22 	 MAF
ZNF287 	 NFYB
ZBTB22 	 TFAP2A
ZBTB22 	 STAT6
ZBTB22 	 NFE2
ZBTB22 	 MAFB
ZBTB22 	 FOXD3
ZBTB22 	 USF1
ZBTB22 	 MAFG
ZBTB22 	 BACH2
ZBTB22 	 NFYB
YY2 	 RBPJ
ZFP112 	 STAT6
ZFP112 	 NANOG
ZFP112 	 RBPJ
ZFP112 	 TFAP4
TFAP2A 	 TFAP2A
TFAP2A 	 ARNT
TFAP2A 	 SMAD1
TFAP2A 	 SMAD3
TFAP2A 	 SMAD6
TFAP2A 	 SMAD7
TFAP2A 	 USF1
TFAP2A 	 SMAD9
TFAP2A 	 TFAP4
TFAP2A 	 TGIF1
MAFB 	 LEF1
MAFB 	 TFAP2A
MAFB 	 NR2F2
LENG9 	 TFAP2A
