TF_name	Cluster
BRD9	hESChigh
DEPDC1	hESChigh
FOXD3	hESChigh
GRHL2	hESChigh
HESX1	hESChigh
JAZF1	hESChigh
KNTC1	hESChigh
MTA3	hESChigh
NANOG	hESChigh
NFXL1	hESChigh
NFYB	hESChigh
NUFIP1	hESChigh
PBX1	hESChigh
POU5F1	hESChigh
PRDM14	hESChigh
RCOR2	hESChigh
SALL2	hESChigh
SEMA4A	hESChigh
SOX15	hESChigh
SOX2	hESChigh
SOX4	hESChigh
TFAP4	hESChigh
TFDP2	hESChigh
TOX3	hESChigh
YBX2	hESChigh
ZBP1	hESChigh
ZC3H15	hESChigh
ZFP42	hESChigh
ZFR2	hESChigh
ZIC5	hESChigh
ZNF165	hESChigh
ZNF232	hESChigh
ZNF253	hESChigh
ZNF507	hESChigh
ZNF512	hESChigh
ZNF519	hESChigh
ZNF556	hESChigh
ZNF589	hESChigh
ZNF620	hESChigh
ZNF644	hESChigh
ZNF649	hESChigh
ZNF721	hESChigh
ZSCAN10	hESChigh
ARNT	hESClow
ATF1	hESClow
ATF6	hESClow
ATXN7	hESClow
BACH2	hESClow
BMP2	hESClow
C20orf194	hESClow
CBFB	hESClow
CREB3L2	hESClow
DNAJC1	hESClow
DZIP1	hESClow
ETV5	hESClow
FBN1	hESClow
FOXP4	hESClow
GATA4	hESClow
JUND	hESClow
KLF5	hESClow
KLF6	hESClow
LEF1	hESClow
MBNL3	hESClow
MEIS3	hESClow
MLLT1	hESClow
MSX1	hESClow
MSX2	hESClow
NR3C1	hESClow
PLXNA2	hESClow
PRDM1	hESClow
SMAD1	hESClow
SMAD3	hESClow
SMAD6	hESClow
SMAD7	hESClow
SNAI2	hESClow
TBX3	hESClow
TEAD1	hESClow
TEAD3	hESClow
TIPARP	hESClow
TSC22D1	hESClow
TSC22D2	hESClow
ZBTB1	hESClow
ZFHX3	hESClow
ZFP36L1	hESClow
ZKSCAN2	hESClow
ZNF32	hESClow
BCL11B	ENDOhigh
DMAP1	ENDOhigh
DMTF1	ENDOhigh
E2F3	ENDOhigh
EOMES	ENDOhigh
FOXC1	ENDOhigh
FOXJ2	ENDOhigh
GABPA	ENDOhigh
GATA6	ENDOhigh
HLA-DQB1	ENDOhigh
IRX3	ENDOhigh
KLF10	ENDOhigh
KLF7	ENDOhigh
KLF8	ENDOhigh
LHX1	ENDOhigh
MAFG	ENDOhigh
MAX	ENDOhigh
MIXL1	ENDOhigh
MYCL1	ENDOhigh
NKX2-5	ENDOhigh
NKX3-2	ENDOhigh
RUNX1	ENDOhigh
SETBP1	ENDOhigh
SOX11	ENDOhigh
SOX17	ENDOhigh
SP5	ENDOhigh
SP8	ENDOhigh
SSH2	ENDOhigh
USF1	ENDOhigh
ZBTB10	ENDOhigh
ZFX	ENDOhigh
ZIC2	ENDOhigh
ZNF268	ENDOhigh
ZNF423	ENDOhigh
ZNF428	ENDOhigh
ZNF497	ENDOhigh
ZNF521	ENDOhigh
ZNF576	ENDOhigh
ZNF791	ENDOhigh
CBX2	ENDOlow
CENPB	ENDOlow
DEPDC1B	ENDOlow
GLI2	ENDOlow
LARP1	ENDOlow
NEUROD2	ENDOlow
NOC3L	ENDOlow
TCF19	ENDOlow
THAP4	ENDOlow
WDHD1	ENDOlow
YBX1	ENDOlow
YEATS2	ENDOlow
ZNF394	ENDOlow
ARID5B	HEPhigh
BNC1	HEPhigh
BNC2	HEPhigh
CEBPB	HEPhigh
CREB3L1	HEPhigh
CREBL2	HEPhigh
CREM	HEPhigh
DDIT3	HEPhigh
DSP	HEPhigh
EPAS1	HEPhigh
FOSL2	HEPhigh
FOXK2	HEPhigh
H1F0	HEPhigh
HAND1	HEPhigh
HMBOX1	HEPhigh
HOXB2	HEPhigh
HOXB4	HEPhigh
HOXB5	HEPhigh
ID2	HEPhigh
JDP2	HEPhigh
JUN	HEPhigh
KLF11	HEPhigh
LCORL	HEPhigh
MBNL1	HEPhigh
MBNL2	HEPhigh
MEF2C	HEPhigh
MEIS2	HEPhigh
NCOA2	HEPhigh
NCOR2	HEPhigh
NR2F2	HEPhigh
PLAGL1	HEPhigh
PPARA	HEPhigh
PPARD	HEPhigh
PRDM6	HEPhigh
RBM22	HEPhigh
RFX5	HEPhigh
SLC2A4RG	HEPhigh
SMAD9	HEPhigh
SOX6	HEPhigh
TERF2IP	HEPhigh
TIGD2	HEPhigh
TSC22D3	HEPhigh
TSHZ1	HEPhigh
TSHZ3	HEPhigh
ZBTB4	HEPhigh
ZHX1	HEPhigh
ZNF234	HEPhigh
ZNF266	HEPhigh
ZNF267	HEPhigh
ZNF385A	HEPhigh
ZNF446	HEPhigh
ZNF503	HEPhigh
ZNF747	HEPhigh
ZZZ3	HEPhigh
CARHSP1	HEPlow
DEK	HEPlow
EDF1	HEPlow
EWSR1	HEPlow
FOXN3	HEPlow
HMGA1	HEPlow
HMGB1	HEPlow
HMGB2	HEPlow
HMGB3	HEPlow
LARP7	HEPlow
MBD3	HEPlow
NFIB	HEPlow
POLR2L	HEPlow
PSMD11	HEPlow
RBPJ	HEPlow
SIX4	HEPlow
SMARCC1	HEPlow
SP100	HEPlow
SSB	HEPlow
TGIF1	HEPlow
U2AF1	HEPlow
ZIC3	HEPlow
ZNF107	HEPlow
ZNF738	HEPlow
ZSCAN16	HEPlow
