Source, Statistic, mean, standard deviation, number of connections, z, p
SIX4, ESCUp sources,0.843,0.861597934,5,4.82475623,0.999999299
HLA-DQB1, ESCDown sources,0.562,0.741725016,4,4.635140954,0.999998217
SP5, EndoDown sources,0.044,0.209914268,1,4.554240205,0.999997371
HESX1, ESCDown sources,0.878,0.918213483,5,4.489152117,0.999996425
ZFR2, EndoDown sources,0.046,0.214205509,1,4.453666973,0.999995779
HOXB5, EndoDown sources,0.053,0.228453496,1,4.145263763,0.999983029
TSHZ1, EndoDown sources,0.055,0.232325203,1,4.067574191,0.999976247
HESX1,  sources,4.824,1.850682036,12,3.877489411,0.99994723
BNC1, EndoDown sources,0.062,0.245267201,1,3.824400471,0.999934455
STAT6, ESCDown sources,2.892,1.623679771,9,3.76182552,0.999915661
FOXC1, EndoDown targets,0.235,0.470929931,2,3.747903634,0.999910841
SSB, EndodUP sources,0.236,0.47989999,2,3.675765864,0.999881432
IRX3, ESCDown sources,1.25,1.056172334,5,3.550556929,0.999807792
POLR2L, ESCDown sources,1.267,1.102592853,5,3.385655901,0.999644958
TBX3, ESCDown sources,0.921,0.932072422,4,3.303391375,0.999522385
MBNL1, ESCDown sources,1.738,1.30436038,6,3.267501886,0.999457494
PRDM14, HepDown sources,0.275,0.528559363,2,3.263588012,0.999449945
ZNF644, HepDown sources,0.282,0.533362916,2,3.221071336,0.999361438
HESX1, ESCUp sources,0.605,0.75827106,3,3.158501131,0.999207087
HMBOX1, ESCDown sources,1.857,1.317782607,6,3.143917652,0.999166488
RBPJ, ESCDown sources,1.495,1.174723372,5,2.983681167,0.998575983
ZNF503, EndoDown sources,0.093,0.307166079,1,2.952800008,0.99842547
LARP1, ESCUp sources,0.341,0.562777931,2,2.947876787,0.998400177
TEAD3, EndoDown sources,0.092,0.309088984,1,2.937665356,0.998346531
ZNF385A, ESCDown sources,2.051,1.348480256,6,2.928481884,0.998296892
JAZF1, ESCUp sources,0.687,0.831282744,3,2.782446788,0.997302464
SOX4, HepEven sources,1.606,1.227503157,5,2.764962339,0.997153532
ZNF613, HepUp sources,2.023,1.451368664,6,2.740172154,0.996929649
SEMA4A, EndoDown sources,0.106,0.335803514,1,2.662271128,0.996119233
PRDM6, EndoDown sources,0.114,0.333172628,1,2.659282083,0.996084632
JUN, HepDown targets,2.661,1.642583027,7,2.641571189,0.995873877
GATA6, EndoDown targets,0.125,0.336712043,1,2.598659649,0.995320574
CDX2, HepEven sources,1.696,1.31056629,5,2.5210476,0.994149699
BCL6,  sources,12.406,3.099865158,20,2.449783978,0.992852903
FOXJ2, ESCDown sources,1.213,1.142642114,4,2.439083915,0.992637726
EOMES, HepUp sources,1.275,1.117754445,4,2.437923653,0.992614053
EWSR1, HepUp sources,1.261,1.127332693,4,2.42962882,0.992442854
LEF1, ESCUp sources,1.251,1.136661339,4,2.418486409,0.992207386
ZBTB16, HepUp targets,0.845,0.891613706,3,2.416965987,0.99217476
TIGD2, HepUp sources,0.435,0.647900455,2,2.415494521,0.992143071
NANOG, HepDown sources,0.135,0.358852337,1,2.410462215,0.992033839
ZNF423, HepDown sources,0.405,0.664059485,2,2.401893257,0.991844766
ZNF613, ESCDown sources,1.817,1.328725329,5,2.395528956,0.991701798
CREM,  sources,17.976,3.78277993,27,2.385547181,0.991473133
ZNF423,  sources,13.307,3.266305405,21,2.355260469,0.990745137
ZBTB1, EndoDown sources,0.134,0.37154273,1,2.330822085,0.990118628
WDHD1, HepUp sources,1.382,1.123421559,4,2.330380771,0.990106982
NFYB, HepDown targets,6.285,2.475434305,12,2.308685788,0.989519488
TFAP2A, ESCDown sources,1.908,1.342213098,5,2.303658044,0.989379077
NFE2, HepUp sources,1.896,1.348771293,5,2.301353845,0.989314181
FOXO4, ESCUp targets,1.902,1.349220516,5,2.296140597,0.989166078
EOMES,  sources,5.929,2.209968099,11,2.294603258,0.989122064
SP100, HepUp sources,2.41,1.57286363,6,2.282461067,0.988768933
ZFP112, HepDown sources,0.142,0.376611205,1,2.278211556,0.988643012
DEPDC1B, ESCUp sources,0.456,0.678280178,2,2.276345454,0.988587329
ZBTB7C, HepUp sources,2.57,1.5281034,6,2.244612505,0.98760349
LHX1, ESCUp sources,0.895,0.945502512,3,2.226329358,0.987003936
HepDown, ESCUp sources,21.963,4.508395613,32,2.226290872,0.987002648
ESCUp, HepDown targets,21.963,4.508395613,32,2.226290872,0.987002648
SEMA4A, ESCDown sources,1.954,1.375457742,5,2.214535501,0.986604018
ZBTB16, EndoDown targets,0.152,0.38327014,1,2.212538656,0.986535266
ZNF721, HepEven sources,1.424,1.165428676,4,2.210345474,0.986459403
ZFP36L1, EndoDown sources,0.164,0.38092519,1,2.194656649,0.985905882
CREB3L1, ESCUp sources,0.486,0.692678858,2,2.185717065,0.985581844
YY2, HepDown sources,0.152,0.388453343,1,2.18301635,0.985482697
ZBTB25, EndoDown sources,0.158,0.38605181,1,2.181054403,0.985410304
MEF2C, EndodUP targets,1.452,1.169485357,4,2.17873613,0.985324362
HAND1,  targets,23.705,4.266611653,33,2.178543715,0.985317209
NANOG, ESCUp sources,0.508,0.685518782,2,2.176453862,0.98523933
JUN, ESCDown sources,1.98,1.399857136,5,2.157363007,0.984511304
SMAD1, ESCUp sources,0.9,0.977752525,3,2.147782743,0.984134491
TSHZ1,  sources,5.5,2.13541565,10,2.107318076,0.982454991
HMBOX1, HepUp sources,2.087,1.384713328,5,2.103684526,0.982297012
SMAD1,  sources,7.105,2.34349632,12,2.088759414,0.981635307
BCL6, HepEven sources,3.378,1.734680374,7,2.087992724,0.981600755
